Altium Designer Pick and Place Locations
D:\Astapenko\PWM\Led Digit\Simple\LED PD AB WH 3000149\LED PD AB WH 3000149 (4F00228L_7P00501A)\Project Outputs for LED PD AB WH 3000149 (4F00228L_7P00501A)\Pick Place for LED PD AB WH 3000149 (4F00228L_7P00501A).csv

========================================================================================================================
File Design Information:

Date:       30.05.22
Time:       15:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Layer"",""Rotation"",""Comment"""
"VS68,""SOT23"",""216.2295"",""18.6000"",""216.2294"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS67,""SOT23"",""206.1501"",""18.6000"",""206.1500"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS66,""SOT23"",""195.5751"",""18.6000"",""195.5750"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS65,""SOT23"",""185.0500"",""18.6000"",""185.0499"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS64,""SOT23"",""174.8501"",""18.6000"",""174.8500"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS63,""SOT23"",""164.1751"",""18.6000"",""164.1750"",""18.6000"",""TopLayer"",""270"",""BZX84"""
"VS62,""SOT23"",""153.9328"",""18.5927"",""153.9328"",""18.5927"",""TopLayer"",""270"",""BZX84"""
"VS61,""SOT23"",""142.1086"",""30.6251"",""142.1087"",""30.6251"",""TopLayer"",""90"",""BZX84"""
"VS60,""SOT23"",""142.0999"",""41.2500"",""142.1000"",""41.2500"",""TopLayer"",""90"",""BZX84"""
"VS59,""SOT23"",""142.1086"",""51.6179"",""142.1087"",""51.6179"",""TopLayer"",""90"",""BZX84"""
"VS58,""SOT23"",""142.1086"",""62.1555"",""142.1087"",""62.1555"",""TopLayer"",""90"",""BZX84"""
"VS57,""SOT23"",""142.1086"",""72.6508"",""142.1087"",""72.6508"",""TopLayer"",""90"",""BZX84"""
"VS56,""SOT23"",""142.1086"",""83.1164"",""142.1087"",""83.1164"",""TopLayer"",""90"",""BZX84"""
"VS55,""SOT23"",""142.1086"",""93.5411"",""142.1087"",""93.5411"",""TopLayer"",""90"",""BZX84"""
"VS54,""SOT23"",""213.2727"",""102.4750"",""213.2728"",""102.4750"",""TopLayer"",""90"",""BZX84"""
"VS53,""SOT23"",""203.1135"",""102.4750"",""203.1136"",""102.4750"",""TopLayer"",""90"",""BZX84"""
"VS52,""SOT23"",""192.9619"",""102.4750"",""192.9620"",""102.4750"",""TopLayer"",""90"",""BZX84"""
"VS51,""SOT23"",""183.0999"",""102.4750"",""183.1000"",""102.4750"",""TopLayer"",""90"",""BZX84"""
"VS50,""SOT23"",""172.6999"",""102.4750"",""172.7000"",""102.4750"",""TopLayer"",""90"",""BZX84"""
